FECHA;# CONTAGIOS
14/12/2020;12
13/12/2020;24
12/12/2020;13
11/12/2020;15
10/12/2020;12
9/12/2020;15
8/12/2020;12
7/12/2020;15
6/12/2020;18
5/12/2020;17
4/12/2020;17
3/12/2020;16
2/12/2020;9
1/12/2020;12
30/11/2020;18
29/11/2020;6
28/11/2020;6
27/11/2020;5
26/11/2020;21
25/11/2020;5
24/11/2020;22
23/11/2020;11
22/11/2020;16
21/11/2020;16
20/11/2020;17
19/11/2020;12
18/11/2020;8
17/11/2020;15
16/11/2020;7
15/11/2020;11
14/11/2020;15
12/11/2020;10
11/11/2020;13
10/11/2020;20
9/11/2020;32
8/11/2020;24
7/11/2020;33
6/11/2020;32
5/11/2020;27
4/11/2020;16
3/11/2020;49
2/11/2020;24
1/11/2020;24
31/10/2020;33
30/10/2020;25
29/10/2020;24
28/10/2020;42
27/10/2020;24
26/10/2020;26
25/10/2020;19
24/10/2020;33
23/10/2020;29
22/10/2020;22
21/10/2020;16
20/10/2020;34
19/10/2020;17
18/10/2020;30
17/10/2020;20
16/10/2020;36
15/10/2020;11
14/10/2020;28
13/10/2020;18
12/10/2020;34
11/10/2020;21
10/10/2020;29
9/10/2020;39
8/10/2020;22
7/10/2020;15
6/10/2020;23
5/10/2020;25
4/10/2020;20
3/10/2020;17
2/10/2020;39
30/9/2020;23
29/9/2020;22
28/9/2020;27
27/9/2020;15
26/9/2020;17
25/9/2020;15
24/9/2020;10
23/9/2020;18
22/9/2020;12
21/9/2020;36
20/9/2020;25
19/9/2020;14
18/9/2020;44
17/9/2020;7
16/9/2020;24
15/9/2020;22
14/9/2020;29
13/9/2020;23
12/9/2020;18
11/9/2020;27
10/9/2020;13
9/9/2020;8
8/9/2020;21
7/9/2020;33
6/9/2020;17
5/9/2020;22
4/9/2020;33
3/9/2020;19
2/9/2020;20
1/9/2020;19
31/8/2020;32
30/8/2020;27
29/8/2020;22
28/8/2020;30
27/8/2020;32
26/8/2020;34
25/8/2020;23
24/8/2020;41
23/8/2020;38
22/8/2020;49
21/8/2020;40
20/8/2020;33
19/8/2020;53
18/8/2020;66
17/8/2020;96
16/8/2020;65
15/8/2020;70
14/8/2020;99
13/8/2020;81
12/8/2020;58
11/8/2020;113
10/8/2020;121
9/8/2020;92
8/8/2020;120
7/8/2020;132
6/8/2020;122
5/8/2020;107
4/8/2020;114
3/8/2020;158
2/8/2020;172
1/8/2020;166
31/7/2020;276
30/7/2020;223
29/7/2020;207
28/7/2020;213
27/7/2020;189
26/7/2020;179
25/7/2020;157
24/7/2020;139
23/7/2020;135
22/7/2020;74
21/7/2020;84
20/7/2020;130
19/7/2020;80
18/7/2020;80
17/7/2020;77
16/7/2020;20
15/7/2020;54
14/7/2020;55
13/7/2020;46
12/7/2020;35
11/7/2020;40
10/7/2020;46
9/7/2020;33
8/7/2020;21
7/7/2020;25
6/7/2020;14
5/7/2020;18
4/7/2020;9
3/7/2020;14
2/7/2020;31
1/7/2020;5
30/6/2020;23
29/6/2020;14
28/6/2020;18
27/6/2020;24
26/6/2020;28
25/6/2020;20
24/6/2020;29
23/6/2020;52
22/6/2020;19
21/6/2020;29
20/6/2020;30
19/6/2020;36
18/6/2020;36
17/6/2020;44
16/6/2020;43
15/6/2020;47
14/6/2020;60
13/6/2020;12
12/6/2020;7
11/6/2020;11
10/6/2020;4
9/6/2020;3
8/6/2020;5
7/6/2020;9
6/6/2020;6
5/6/2020;11
4/6/2020;1
3/6/2020;5
2/6/2020;7
1/6/2020;19
31/5/2020;5
30/5/2020;17
28/5/2020;3
27/5/2020;1
26/5/2020;7
25/5/2020;11
24/5/2020;3
23/5/2020;2
22/5/2020;12
21/5/2020;2
20/5/2020;2
19/5/2020;9
18/5/2020;10
17/5/2020;6
16/5/2020;9
15/5/2020;5
14/5/2020;6
13/5/2020;7
12/5/2020;1
11/5/2020;19
10/5/2020;15
8/5/2020;6
7/5/2020;2
6/5/2020;2
5/5/2020;2
4/5/2020;3
3/5/2020;2
2/5/2020;3
1/5/2020;12
30/4/2020;4
29/4/2020;2
28/4/2020;26
27/4/2020;3
26/4/2020;10
25/4/2020;15
24/4/2020;8
23/4/2020;12
22/4/2020;15
21/4/2020;32
20/4/2020;14
19/4/2020;18
18/4/2020;31
17/4/2020;352
16/4/2020;50
15/4/2020;49
14/4/2020;94
13/4/2020;112
12/4/2020;93
11/4/2020;79
10/4/2020;55
9/4/2020;86
8/4/2020;86
7/4/2020;56
6/4/2020;67
5/4/2020;48
4/4/2020;62
3/4/2020;70
2/4/2020;100
1/4/2020;54
31/3/2020;84
30/3/2020;98
29/3/2020;113
28/3/2020;119
27/3/2020;94
26/3/2020;102
25/3/2020;78
24/3/2020;69
23/3/2020;138
22/3/2020;65
21/3/2020;52
20/3/2020;99
19/3/2020;44
18/3/2020;23
17/3/2020;43
16/3/2020;25
15/3/2020;22
14/3/2020;19
13/3/2020;22
12/3/2020;24
11/3/2020;29
10/3/2020;20
9/3/2020;45
8/3/2020;46
7/3/2020;101
6/3/2020;170
5/3/2020;117
4/3/2020;119
3/3/2020;127
2/3/2020;205
1/3/2020;574
29/2/2020;428
28/2/2020;329
27/2/2020;439
26/2/2020;410
25/2/2020;515
24/2/2020;218
23/2/2020;647
22/2/2020;826
21/2/2020;891
20/2/2020;394
19/2/2020;1750
18/2/2020;1890
17/2/2020;2052
16/2/2020;2007
15/2/2020;2538
14/2/2020;4156
13/2/2020;15141
12/2/2020;2028
11/2/2020;2490
10/2/2020;2974
9/2/2020;2607
8/2/2020;3418
7/2/2020;3160
6/2/2020;3727
5/2/2020;3872
4/2/2020;3237
3/2/2020;2812
2/2/2020;2590
1/2/2020;2095
31/1/2020;1980
30/1/2020;1740
29/1/2020;1466
28/1/2020;1753
27/1/2020;787
26/1/2020;665
25/1/2020;441
24/1/2020;259
23/1/2020;97
22/1/2020;140
21/1/2020;151
20/1/2020;19
19/1/2020;136
18/1/2020;17
17/1/2020;4
5/1/2020;15
3/1/2020;17
31/12/2019;27
