FECHA;# MUERTES
14/12/2020;5
13/12/2020;7
12/12/2020;7
11/12/2020;6
10/12/2020;6
9/12/2020;10
7/12/2020;5
6/12/2020;6
5/12/2020;11
4/12/2020;8
3/12/2020;5
2/12/2020;15
30/11/2020;3
29/11/2020;4
28/11/2020;5
27/11/2020;4
26/11/2020;12
24/11/2020;5
23/11/2020;6
22/11/2020;5
21/11/2020;6
20/11/2020;3
19/11/2020;5
18/11/2020;4
17/11/2020;5
16/11/2020;3
15/11/2020;5
14/11/2020;6
13/11/2020;5
12/11/2020;4
11/11/2020;4
10/11/2020;6
9/11/2020;4
8/11/2020;4
7/11/2020;4
6/11/2020;5
5/11/2020;5
4/11/2020;5
3/11/2020;4
2/11/2020;4
1/11/2020;4
31/10/2020;4
30/10/2020;4
29/10/2020;5
28/10/2020;9
26/10/2020;4
25/10/2020;5
24/10/2020;4
23/10/2020;4
22/10/2020;3
21/10/2020;7
20/10/2020;4
18/10/2020;5
17/10/2020;5
16/10/2020;8
15/10/2020;5
14/10/2020;5
12/10/2020;7
11/10/2020;6
9/10/2020;4
8/10/2020;4
7/10/2020;4
6/10/2020;6
4/10/2020;10
3/10/2020;5
2/10/2020;5
30/9/2020;12
29/9/2020;5
26/9/2020;3
25/9/2020;4
23/9/2020;5
22/9/2020;2
21/9/2020;1
20/9/2020;3
19/9/2020;7
17/9/2020;5
16/9/2020;4
15/9/2020;4
14/9/2020;3
13/9/2020;3
12/9/2020;5
11/9/2020;7
10/9/2020;5
9/9/2020;1
7/9/2020;5
6/9/2020;7
5/9/2020;8
4/9/2020;5
3/9/2020;8
2/9/2020;7
1/9/2020;7
31/8/2020;4
30/8/2020;11
29/8/2020;8
28/8/2020;7
26/8/2020;9
25/8/2020;9
24/8/2020;15
22/8/2020;14
20/8/2020;7
19/8/2020;15
17/8/2020;6
16/8/2020;17
15/8/2020;11
14/8/2020;7
12/8/2020;7
11/8/2020;7
10/8/2020;27
8/8/2020;16
7/8/2020;7
6/8/2020;27
4/8/2020;19
2/8/2020;19
1/8/2020;9
31/7/2020;9
30/7/2020;13
29/7/2020;9
27/7/2020;18
25/7/2020;18
24/7/2020;9
22/7/2020;11
21/7/2020;8
20/7/2020;20
18/7/2020;15
17/7/2020;11
16/7/2020;20
14/7/2020;11
13/7/2020;13
12/7/2020;5
11/7/2020;6
10/7/2020;8
9/7/2020;6
8/7/2020;6
7/7/2020;6
6/7/2020;7
4/7/2020;19
3/7/2020;9
2/7/2020;8
1/7/2020;10
29/6/2020;12
28/6/2020;9
27/6/2020;10
26/6/2020;7
25/6/2020;13
24/6/2020;6
22/6/2020;9
21/6/2020;5
20/6/2020;7
19/6/2020;4
18/6/2020;4
17/6/2020;2
16/6/2020;2
15/6/2020;2
13/6/2020;4
12/6/2020;4
11/6/2020;4
10/6/2020;2
9/6/2020;3
8/6/2020;2
6/6/2020;1
5/6/2020;1
4/6/2020;2
3/6/2020;3
31/5/2020;3
30/5/2020;4
28/5/2020;3
26/5/2020;1
24/5/2020;2
22/5/2020;1
21/5/2020;1
20/5/2020;1
18/5/2020;4
17/5/2020;1
16/5/2020;2
15/5/2020;3
13/5/2020;2
12/5/2020;1
10/5/2020;1
9/5/2020;1
7/5/2020;1
6/5/2020;1
5/5/2020;1
4/5/2020;1
3/5/2020;1
1/5/2020;1
29/4/2020;1
23/4/2020;1
18/4/2020;1
10/4/2020;1
9/4/2020;1
7/4/2020;1
4/4/2020;1
2/4/2020;1
1/4/2020;1
