FECHA;# CONTAGIOS
14/12/2020;183
13/12/2020;558
12/12/2020;755
11/12/2020;659
10/12/2020;654
9/12/2020;799
8/12/2020;124
7/12/2020;198
6/12/2020;547
5/12/2020;752
4/12/2020;593
3/12/2020;686
2/12/2020;712
1/12/2020;91
30/11/2020;173
29/11/2020;666
28/11/2020;447
27/11/2020;696
26/11/2020;640
25/11/2020;627
24/11/2020;93
23/11/2020;212
22/11/2020;660
21/11/2020;691
20/11/2020;685
19/11/2020;651
18/11/2020;698
17/11/2020;147
16/11/2020;166
15/11/2020;596
14/11/2020;580
13/11/2020;732
12/11/2020;682
11/11/2020;769
10/11/2020;98
9/11/2020;212
8/11/2020;548
7/11/2020;653
6/11/2020;702
5/11/2020;664
4/11/2020;379
2/11/2020;165
1/11/2020;600
31/10/2020;549
30/10/2020;470
29/10/2020;749
28/10/2020;677
27/10/2020;107
26/10/2020;155
25/10/2020;730
24/10/2020;730
23/10/2020;757
22/10/2020;196
21/10/2020;620
20/10/2020;239
19/10/2020;332
18/10/2020;597
17/10/2020;666
16/10/2020;671
15/10/2020;714
14/10/2020;554
13/10/2020;111
12/10/2020;171
11/10/2020;609
10/10/2020;455
9/10/2020;776
8/10/2020;834
7/10/2020;688
6/10/2020;219
5/10/2020;215
4/10/2020;658
3/10/2020;681
2/10/2020;663
1/10/2020;778
30/9/2020;705
29/9/2020;171
28/9/2020;390
27/9/2020;824
26/9/2020;945
25/9/2020;491
24/9/2020;819
23/9/2020;942
22/9/2020;237
21/9/2020;292
20/9/2020;808
19/9/2020;680
18/9/2020;740
17/9/2020;240
16/9/2020;512
15/9/2020;263
14/9/2020;251
13/9/2020;649
12/9/2020;703
11/9/2020;684
10/9/2020;901
9/9/2020;893
8/9/2020;145
7/9/2020;202
6/9/2020;441
5/9/2020;682
4/9/2020;694
3/9/2020;771
2/9/2020;819
1/9/2020;162
31/8/2020;233
30/8/2020;758
29/8/2020;1065
28/8/2020;1142
27/8/2020;1063
26/8/2020;1118
25/8/2020;345
24/8/2020;332
23/8/2020;915
22/8/2020;958
21/8/2020;1102
20/8/2020;1034
19/8/2020;903
18/8/2020;382
17/8/2020;249
16/8/2020;885
15/8/2020;1144
14/8/2020;1195
13/8/2020;1123
12/8/2020;979
11/8/2020;382
10/8/2020;416
9/8/2020;919
8/8/2020;931
7/8/2020;830
6/8/2020;1144
5/8/2020;823
4/8/2020;236
3/8/2020;327
2/8/2020;1190
1/8/2020;963
31/7/2020;1221
30/7/2020;2546
29/7/2020;6
27/7/2020;561
26/7/2020;1209
25/7/2020;1091
24/7/2020;1057
23/7/2020;906
22/7/2020;1190
21/7/2020;362
20/7/2020;635
19/7/2020;4233
18/7/2020;870
17/7/2020;865
16/7/2020;1202
15/7/2020;1130
14/7/2020;387
13/7/2020;757
12/7/2020;979
11/7/2020;961
10/7/2020;1247
9/7/2020;624
8/7/2020;815
7/7/2020;724
6/7/2020;747
5/7/2020;1208
4/7/2020;1221
3/7/2020;1061
2/7/2020;915
1/7/2020;687
30/6/2020;479
29/6/2020;533
28/6/2020;569
27/6/2020;209
26/6/2020;800
25/6/2020;279
24/6/2020;771
23/6/2020;624
22/6/2020;390
21/6/2020;246
20/6/2020;641
19/6/2020;617
18/6/2020;545
17/6/2020;434
16/6/2020;427
15/6/2020;354
14/6/2020;509
13/6/2020;421
12/6/2020;340
11/6/2020;355
10/6/2020;364
9/6/2020;447
8/6/2020;263
7/6/2020;307
6/6/2020;331
5/6/2020;394
4/6/2020;174
3/6/2020;250
2/6/2020;249
1/6/2020;348
31/5/2020;132
30/5/2020;259
29/5/2020;203
28/5/2020;191
27/5/2020;194
26/5/2020;336
25/5/2020;370
24/5/2020;311
23/5/2020;231
22/5/2020;247
21/5/2020;132
20/5/2020;132
19/5/2020;89
18/5/2020;149
17/5/2020;120
16/5/2020;125
15/5/2020;176
14/5/2020;143
13/5/2020;85
12/5/2020;62
11/5/2020;85
10/5/2020;67
9/5/2020;68
8/5/2020;34
7/5/2020;35
6/5/2020;33
5/5/2020;27
4/5/2020;15
3/5/2020;44
2/5/2020;45
1/5/2020;14
30/4/2020;28
29/4/2020;27
28/4/2020;30
27/4/2020;27
26/4/2020;43
25/4/2020;46
24/4/2020;42
23/4/2020;26
22/4/2020;22
21/4/2020;5
20/4/2020;32
19/4/2020;22
18/4/2020;21
17/4/2020;18
16/4/2020;16
15/4/2020;13
14/4/2020;11
13/4/2020;3
12/4/2020;16
11/4/2020;11
10/4/2020;39
9/4/2020;7
8/4/2020;6
7/4/2020;4
6/4/2020;9
5/4/2020;11
4/4/2020;3
3/4/2020;1
2/4/2020;8
1/4/2020;2
30/3/2020;2
29/3/2020;2
28/3/2020;7
27/3/2020;1
26/3/2020;3
25/3/2020;1
24/3/2020;1
23/3/2020;2
22/3/2020;4
21/3/2020;4
20/3/2020;1
19/3/2020;2
17/3/2020;5
15/3/2020;1
