FECHA;# MUERTES;
14/12/2020;18;Guatemala
13/12/2020;29;Guatemala
12/12/2020;31;Guatemala
11/12/2020;34;Guatemala
10/12/2020;25;Guatemala
9/12/2020;12;Guatemala
8/12/2020;24;Guatemala
7/12/2020;11;Guatemala
6/12/2020;15;Guatemala
5/12/2020;15;Guatemala
4/12/2020;18;Guatemala
3/12/2020;13;Guatemala
2/12/2020;7;Guatemala
1/12/2020;5;Guatemala
30/11/2020;5;Guatemala
29/11/2020;20;Guatemala
28/11/2020;8;Guatemala
27/11/2020;26;Guatemala
26/11/2020;8;Guatemala
25/11/2020;7;Guatemala
24/11/2020;16;Guatemala
23/11/2020;2;Guatemala
22/11/2020;7;Guatemala
21/11/2020;17;Guatemala
20/11/2020;42;Guatemala
19/11/2020;61;Guatemala
18/11/2020;9;Guatemala
17/11/2020;6;Guatemala
16/11/2020;12;Guatemala
15/11/2020;40;Guatemala
14/11/2020;22;Guatemala
13/11/2020;13;Guatemala
12/11/2020;13;Guatemala
11/11/2020;9;Guatemala
10/11/2020;2;Guatemala
9/11/2020;10;Guatemala
8/11/2020;17;Guatemala
7/11/2020;28;Guatemala
6/11/2020;14;Guatemala
5/11/2020;4;Guatemala
4/11/2020;10;Guatemala
2/11/2020;9;Guatemala
1/11/2020;15;Guatemala
31/10/2020;10;Guatemala
30/10/2020;22;Guatemala
29/10/2020;17;Guatemala
28/10/2020;14;Guatemala
27/10/2020;7;Guatemala
26/10/2020;35;Guatemala
25/10/2020;15;Guatemala
24/10/2020;14;Guatemala
23/10/2020;13;Guatemala
22/10/2020;21;Guatemala
21/10/2020;5;Guatemala
20/10/2020;11;Guatemala
19/10/2020;15;Guatemala
18/10/2020;37;Guatemala
17/10/2020;25;Guatemala
16/10/2020;23;Guatemala
15/10/2020;20;Guatemala
14/10/2020;23;Guatemala
13/10/2020;3;Guatemala
12/10/2020;19;Guatemala
11/10/2020;9;Guatemala
10/10/2020;9;Guatemala
9/10/2020;12;Guatemala
8/10/2020;25;Guatemala
7/10/2020;8;Guatemala
6/10/2020;9;Guatemala
5/10/2020;8;Guatemala
4/10/2020;18;Guatemala
3/10/2020;6;Guatemala
2/10/2020;15;Guatemala
1/10/2020;8;Guatemala
30/9/2020;4;Guatemala
29/9/2020;5;Guatemala
28/9/2020;16;Guatemala
27/9/2020;27;Guatemala
26/9/2020;16;Guatemala
25/9/2020;16;Guatemala
24/9/2020;17;Guatemala
23/9/2020;13;Guatemala
22/9/2020;5;Guatemala
21/9/2020;14;Guatemala
20/9/2020;29;Guatemala
19/9/2020;40;Guatemala
18/9/2020;27;Guatemala
17/9/2020;25;Guatemala
16/9/2020;12;Guatemala
15/9/2020;15;Guatemala
14/9/2020;8;Guatemala
13/9/2020;20;Guatemala
12/9/2020;11;Guatemala
11/9/2020;21;Guatemala
10/9/2020;7;Guatemala
9/9/2020;28;Guatemala
8/9/2020;10;Guatemala
7/9/2020;7;Guatemala
6/9/2020;20;Guatemala
5/9/2020;21;Guatemala
4/9/2020;14;Guatemala
3/9/2020;12;Guatemala
2/9/2020;18;Guatemala
1/9/2020;20;Guatemala
31/8/2020;12;Guatemala
30/8/2020;19;Guatemala
29/8/2020;24;Guatemala
28/8/2020;23;Guatemala
27/8/2020;32;Guatemala
26/8/2020;19;Guatemala
25/8/2020;17;Guatemala
24/8/2020;14;Guatemala
23/8/2020;48;Guatemala
22/8/2020;26;Guatemala
21/8/2020;39;Guatemala
20/8/2020;48;Guatemala
19/8/2020;30;Guatemala
18/8/2020;10;Guatemala
17/8/2020;24;Guatemala
16/8/2020;14;Guatemala
15/8/2020;45;Guatemala
14/8/2020;29;Guatemala
13/8/2020;34;Guatemala
12/8/2020;11;Guatemala
11/8/2020;11;Guatemala
10/8/2020;14;Guatemala
9/8/2020;29;Guatemala
8/8/2020;49;Guatemala
7/8/2020;47;Guatemala
6/8/2020;35;Guatemala
5/8/2020;24;Guatemala
4/8/2020;18;Guatemala
3/8/2020;36;Guatemala
2/8/2020;35;Guatemala
1/8/2020;57;Guatemala
31/7/2020;32;Guatemala
30/7/2020;74;Guatemala
29/7/2020;27;Guatemala
27/7/2020;65;Guatemala
25/7/2020;37;Guatemala
24/7/2020;59;Guatemala
23/7/2020;42;Guatemala
22/7/2020;29;Guatemala
21/7/2020;17;Guatemala
20/7/2020;36;Guatemala
19/7/2020;6;Guatemala
18/7/2020;39;Guatemala
17/7/2020;54;Guatemala
16/7/2020;48;Guatemala
15/7/2020;58;Guatemala
14/7/2020;25;Guatemala
13/7/2020;47;Guatemala
12/7/2020;33;Guatemala
11/7/2020;47;Guatemala
10/7/2020;39;Guatemala
9/7/2020;49;Guatemala
8/7/2020;23;Guatemala
7/7/2020;34;Guatemala
6/7/2020;27;Guatemala
5/7/2020;40;Guatemala
4/7/2020;37;Guatemala
3/7/2020;26;Guatemala
2/7/2020;44;Guatemala
1/7/2020;27;Guatemala
30/6/2020;19;Guatemala
29/6/2020;21;Guatemala
28/6/2020;34;Guatemala
27/6/2020;49;Guatemala
26/6/2020;22;Guatemala
25/6/2020;19;Guatemala
24/6/2020;35;Guatemala
23/6/2020;16;Guatemala
22/6/2020;17;Guatemala
21/6/2020;31;Guatemala
20/6/2020;34;Guatemala
19/6/2020;17;Guatemala
18/6/2020;14;Guatemala
17/6/2020;19;Guatemala
16/6/2020;15;Guatemala
15/6/2020;17;Guatemala
14/6/2020;16;Guatemala
13/6/2020;17;Guatemala
12/6/2020;18;Guatemala
11/6/2020;27;Guatemala
10/6/2020;22;Guatemala
9/6/2020;15;Guatemala
8/6/2020;22;Guatemala
7/6/2020;14;Guatemala
6/6/2020;58;Guatemala
5/6/2020;15;Guatemala
4/6/2020;20;Guatemala
3/6/2020;7;Guatemala
2/6/2020;8;Guatemala
1/6/2020;6;Guatemala
31/5/2020;12;Guatemala
30/5/2020;10;Guatemala
29/5/2020;12;Guatemala
28/5/2020;5;Guatemala
27/5/2020;4;Guatemala
26/5/2020;1;Guatemala
25/5/2020;3;Guatemala
24/5/2020;4;Guatemala
23/5/2020;3;Guatemala
22/5/2020;3;Guatemala
21/5/2020;2;Guatemala
20/5/2020;5;Guatemala
19/5/2020;3;Guatemala
18/5/2020;2;Guatemala
17/5/2020;3;Guatemala
16/5/2020;1;Guatemala
14/5/2020;2;Guatemala
13/5/2020;1;Guatemala
11/5/2020;2;Guatemala
9/5/2020;1;Guatemala
8/5/2020;2;Guatemala
7/5/2020;2;Guatemala
5/5/2020;2;Guatemala
3/5/2020;1;Guatemala
29/4/2020;1;Guatemala
27/4/2020;2;Guatemala
26/4/2020;2;Guatemala
24/4/2020;1;Guatemala
23/4/2020;2;Guatemala
22/4/2020;1;Guatemala
17/4/2020;2;Guatemala
13/4/2020;2;Guatemala
6/4/2020;1;Guatemala
5/4/2020;1;Guatemala
16/3/2020;1;Guatemala
