FECHA;# CONTAGIOS
14/12/2020;316
13/12/2020;335
12/12/2020;501
11/12/2020;415
10/12/2020;617
9/12/2020;1152
7/12/2020;300
6/12/2020;763
5/12/2020;200
4/12/2020;616
3/12/2020;503
2/12/2020;388
1/12/2020;365
30/11/2020;375
29/11/2020;379
28/11/2020;453
27/11/2020;565
26/11/2020;905
25/11/2020;296
24/11/2020;480
22/11/2020;947
18/11/2020;249
17/11/2020;137
16/11/2020;547
15/11/2020;476
14/11/2020;611
13/11/2020;299
12/11/2020;365
11/11/2020;231
10/11/2020;65
9/11/2020;467
8/11/2020;465
7/11/2020;229
6/11/2020;223
5/11/2020;436
4/11/2020;283
3/11/2020;193
2/11/2020;808
1/11/2020;516
31/10/2020;738
30/10/2020;951
29/10/2020;576
28/10/2020;657
27/10/2020;752
26/10/2020;490
25/10/2020;842
24/10/2020;373
23/10/2020;431
22/10/2020;846
21/10/2020;851
20/10/2020;956
19/10/2020;831
18/10/2020;903
17/10/2020;602
16/10/2020;631
15/10/2020;606
14/10/2020;439
13/10/2020;332
12/10/2020;935
11/10/2020;594
10/10/2020;880
9/10/2020;656
8/10/2020;354
7/10/2020;642
6/10/2020;391
5/10/2020;841
4/10/2020;519
3/10/2020;671
2/10/2020;698
1/10/2020;802
30/9/2020;561
29/9/2020;428
28/9/2020;561
27/9/2020;708
26/9/2020;647
25/9/2020;518
24/9/2020;369
23/9/2020;231
22/9/2020;459
21/9/2020;473
20/9/2020;532
19/9/2020;491
18/9/2020;460
17/9/2020;1040
15/9/2020;831
14/9/2020;653
13/9/2020;1087
12/9/2020;247
11/9/2020;205
10/9/2020;379
9/9/2020;404
8/9/2020;50
7/9/2020;412
6/9/2020;554
5/9/2020;640
4/9/2020;632
3/9/2020;757
2/9/2020;755
1/9/2020;840
31/8/2020;529
30/8/2020;835
29/8/2020;1141
28/8/2020;1020
27/8/2020;1170
25/8/2020;968
24/8/2020;528
23/8/2020;602
22/8/2020;562
21/8/2020;523
20/8/2020;626
19/8/2020;675
18/8/2020;493
17/8/2020;523
16/8/2020;512
15/8/2020;425
14/8/2020;385
13/8/2020;254
12/8/2020;531
11/8/2020;418
10/8/2020;478
9/8/2020;611
8/8/2020;610
7/8/2020;657
6/8/2020;799
5/8/2020;505
4/8/2020;597
3/8/2020;512
2/8/2020;283
1/8/2020;976
31/7/2020;482
30/7/2020;484
29/7/2020;719
28/7/2020;465
27/7/2020;838
26/7/2020;879
25/7/2020;657
24/7/2020;800
23/7/2020;757
22/7/2020;734
21/7/2020;776
20/7/2020;1042
19/7/2020;1048
18/7/2020;878
17/7/2020;831
16/7/2020;930
15/7/2020;527
14/7/2020;489
13/7/2020;507
12/7/2020;530
11/7/2020;669
10/7/2020;406
9/7/2020;550
8/7/2020;763
7/7/2020;722
6/7/2020;1022
5/7/2020;805
4/7/2020;996
3/7/2020;858
2/7/2020;704
1/7/2020;740
30/6/2020;736
29/6/2020;1075
28/6/2020;1013
27/6/2020;628
26/6/2020;795
25/6/2020;628
24/6/2020;587
23/6/2020;587
22/6/2020;519
21/6/2020;992
20/6/2020;519
19/6/2020;440
18/6/2020;643
17/6/2020;478
16/6/2020;320
15/6/2020;403
14/6/2020;323
13/6/2020;463
12/6/2020;309
11/6/2020;425
10/6/2020;485
9/6/2020;123
8/6/2020;172
7/6/2020;184
6/6/2020;91
5/6/2020;190
4/6/2020;163
3/6/2020;165
2/6/2020;160
1/6/2020;108
31/5/2020;208
30/5/2020;134
29/5/2020;112
28/5/2020;239
27/5/2020;212
26/5/2020;239
25/5/2020;207
24/5/2020;266
23/5/2020;273
22/5/2020;104
21/5/2020;145
20/5/2020;157
19/5/2020;152
18/5/2020;81
17/5/2020;105
16/5/2020;142
15/5/2020;63
14/5/2020;175
13/5/2020;74
12/5/2020;34
11/5/2020;142
10/5/2020;59
9/5/2020;86
8/5/2020;224
7/5/2020;191
6/5/2020;92
5/5/2020;123
4/5/2020;45
3/5/2020;111
2/5/2020;95
1/5/2020;33
30/4/2020;33
29/4/2020;45
28/4/2020;32
27/4/2020;34
26/4/2020;36
25/4/2020;72
23/4/2020;9
22/4/2020;16
21/4/2020;17
20/4/2020;5
19/4/2020;15
18/4/2020;15
17/4/2020;16
16/4/2020;7
15/4/2020;12
14/4/2020;10
13/4/2020;4
12/4/2020;1
11/4/2020;10
10/4/2020;39
9/4/2020;31
8/4/2020;7
7/4/2020;7
6/4/2020;30
5/4/2020;4
4/4/2020;42
3/4/2020;3
2/4/2020;47
1/4/2020;31
31/3/2020;2
30/3/2020;29
29/3/2020;15
28/3/2020;28
27/3/2020;15
26/3/2020;16
25/3/2020;6
24/3/2020;3
23/3/2020;1
22/3/2020;2
20/3/2020;12
19/3/2020;3
18/3/2020;1
17/3/2020;2
16/3/2020;3
14/3/2020;1
12/3/2020;2
