FECHA;# CONTAGIOS 
14/12/2020;189723
13/12/2020;216017
12/12/2020;234633
11/12/2020;224680
10/12/2020;220025
9/12/2020;217344
8/12/2020;197334
7/12/2020;173432
6/12/2020;211933
5/12/2020;231930
4/12/2020;214747
3/12/2020;203311
2/12/2020;180421
1/12/2020;157903
30/11/2020;136670
29/11/2020;154893
28/11/2020;207913
27/11/2020;106091
26/11/2020;186589
25/11/2020;170293
24/11/2020;173963
23/11/2020;157471
22/11/2020;175494
21/11/2020;196117
20/11/2020;188020
19/11/2020;170005
18/11/2020;154316
17/11/2020;168425
16/11/2020;132170
15/11/2020;165277
14/11/2020;184813
13/11/2020;153669
12/11/2020;143306
11/11/2020;147274
10/11/2020;138901
9/11/2020;110693
8/11/2020;121413
7/11/2020;130623
6/11/2020;122436
5/11/2020;102507
4/11/2020;92734
3/11/2020;83883
2/11/2020;81001
1/11/2020;78934
31/10/2020;101273
30/10/2020;88130
29/10/2020;78371
28/10/2020;75129
27/10/2020;68359
26/10/2020;59440
25/10/2020;83056
24/10/2020;85329
23/10/2020;72058
22/10/2020;62978
21/10/2020;58549
20/10/2020;60160
19/10/2020;47843
18/10/2020;56611
17/10/2020;70256
16/10/2020;63785
15/10/2020;59386
14/10/2020;52517
13/10/2020;41653
12/10/2020;43597
11/10/2020;54271
10/10/2020;58082
9/10/2020;56800
8/10/2020;48182
7/10/2020;43062
6/10/2020;40705
5/10/2020;34901
4/10/2020;50659
3/10/2020;54471
2/10/2020;44771
1/10/2020;41982
30/9/2020;43017
29/9/2020;32998
28/9/2020;36248
27/9/2020;45368
26/9/2020;55013
25/9/2020;44213
24/9/2020;37930
23/9/2020;38307
22/9/2020;53153
21/9/2020;39852
20/9/2020;40295
19/9/2020;50209
18/9/2020;43567
17/9/2020;24598
16/9/2020;51473
15/9/2020;34841
14/9/2020;33871
13/9/2020;40820
12/9/2020;48061
11/9/2020;37507
10/9/2020;31927
9/9/2020;27122
8/9/2020;24250
7/9/2020;30555
6/9/2020;44140
5/9/2020;51071
4/9/2020;36249
3/9/2020;38754
2/9/2020;44639
1/9/2020;33850
31/8/2020;35581
30/8/2020;44143
29/8/2020;49654
28/8/2020;45909
27/8/2020;42848
26/8/2020;38119
25/8/2020;38298
24/8/2020;34506
23/8/2020;44378
22/8/2020;49880
21/8/2020;44005
20/8/2020;47426
19/8/2020;44091
18/8/2020;35056
17/8/2020;42104
16/8/2020;48085
15/8/2020;64838
14/8/2020;51094
13/8/2020;55941
12/8/2020;46813
