FECHA;# MUERTES
14/12/2020;1340
13/12/2020;2315
12/12/2020;3343
11/12/2020;2748
10/12/2020;3124
9/12/2020;2564
8/12/2020;1433
7/12/2020;1111
6/12/2020;2203
5/12/2020;2680
4/12/2020;2481
3/12/2020;3190
2/12/2020;2600
1/12/2020;1172
30/11/2020;810
29/11/2020;1204
28/11/2020;1404
27/11/2020;1189
26/11/2020;2341
25/11/2020;2224
24/11/2020;919
23/11/2020;883
22/11/2020;1486
21/11/2020;1858
20/11/2020;2018
19/11/2020;1850
18/11/2020;1467
17/11/2020;1006
16/11/2020;614
15/11/2020;1255
14/11/2020;1915
13/11/2020;630
12/11/2020;2117
11/11/2020;1432
10/11/2020;679
9/11/2020;459
8/11/2020;1014
7/11/2020;1162
6/11/2020;1208
5/11/2020;1102
4/11/2020;1076
3/11/2020;555
2/11/2020;440
1/11/2020;848
31/10/2020;1040
30/10/2020;968
29/10/2020;977
28/10/2020;988
27/10/2020;505
26/10/2020;331
25/10/2020;904
24/10/2020;953
23/10/2020;841
22/10/2020;1135
21/10/2020;933
20/10/2020;459
19/10/2020;385
18/10/2020;690
17/10/2020;899
16/10/2020;828
15/10/2020;970
14/10/2020;817
13/10/2020;314
12/10/2020;394
11/10/2020;590
10/10/2020;1014
9/10/2020;972
8/10/2020;892
7/10/2020;717
6/10/2020;398
5/10/2020;400
4/10/2020;678
3/10/2020;908
2/10/2020;880
1/10/2020;930
30/9/2020;928
29/9/2020;314
28/9/2020;259
27/9/2020;723
26/9/2020;964
25/9/2020;901
24/9/2020;1102
23/9/2020;926
22/9/2020;372
21/9/2020;251
20/9/2020;669
19/9/2020;956
18/9/2020;831
17/9/2020;865
16/9/2020;1407
15/9/2020;451
14/9/2020;378
13/9/2020;685
12/9/2020;1227
11/9/2020;974
10/9/2020;1136
9/9/2020;471
8/9/2020;267
7/9/2020;403
6/9/2020;773
5/9/2020;968
4/9/2020;1053
3/9/2020;1055
2/9/2020;1091
1/9/2020;529
31/8/2020;290
30/8/2020;1006
29/8/2020;949
28/8/2020;1110
27/8/2020;1228
26/8/2020;1207
25/8/2020;473
24/8/2020;444
23/8/2020;956
22/8/2020;1151
21/8/2020;1078
20/8/2020;1356
19/8/2020;1324
18/8/2020;445
17/8/2020;571
16/8/2020;1035
15/8/2020;1336
14/8/2020;1083
13/8/2020;1490
12/8/2020;1076
11/8/2020;523
10/8/2020;513
9/8/2020;1069
8/8/2020;1252
7/8/2020;1848
6/8/2020;1450
5/8/2020;1403
4/8/2020;543
3/8/2020;413
2/8/2020;1133
1/8/2020;1244
31/7/2020;1357
30/7/2020;1457
29/7/2020;1245
28/7/2020;1076
27/7/2020;475
26/7/2020;914
25/7/2020;1304
24/7/2020;1052
23/7/2020;1124
22/7/2020;1160
21/7/2020;372
20/7/2020;415
19/7/2020;853
18/7/2020;908
17/7/2020;939
16/7/2020;953
15/7/2020;861
14/7/2020;400
13/7/2020;391
12/7/2020;717
11/7/2020;806
10/7/2020;982
9/7/2020;829
8/7/2020;1174
7/7/2020;359
6/7/2020;271
5/7/2020;242
4/7/2020;694
3/7/2020;678
2/7/2020;652
1/7/2020;1270
30/6/2020;336
29/6/2020;265
28/6/2020;500
27/6/2020;623
26/6/2020;2437
25/6/2020;751
24/6/2020;826
23/6/2020;427
22/6/2020;256
21/6/2020;607
20/6/2020;678
19/6/2020;717
18/6/2020;754
17/6/2020;836
16/6/2020;395
15/6/2020;296
14/6/2020;767
13/6/2020;849
12/6/2020;896
11/6/2020;918
10/6/2020;999
9/6/2020;493
8/6/2020;712
7/6/2020;659
6/6/2020;932
5/6/2020;1036
4/6/2020;994
3/6/2020;1034
2/6/2020;764
1/6/2020;602
31/5/2020;945
30/5/2020;1219
29/5/2020;1175
28/5/2020;1526
27/5/2020;696
26/5/2020;500
25/5/2020;633
24/5/2020;1080
23/5/2020;1305
22/5/2020;1263
21/5/2020;1518
20/5/2020;1568
19/5/2020;791
18/5/2020;808
17/5/2020;1186
16/5/2020;1662
15/5/2020;1773
14/5/2020;1746
13/5/2020;1703
12/5/2020;1156
11/5/2020;734
10/5/2020;1614
9/5/2020;1510
8/5/2020;2239
7/5/2020;2353
6/5/2020;2144
5/5/2020;1252
4/5/2020;1297
3/5/2020;1317
2/5/2020;2062
1/5/2020;2040
30/4/2020;2611
29/4/2020;2110
28/4/2020;1369
27/4/2020;1687
26/4/2020;2172
25/4/2020;1054
24/4/2020;3179
23/4/2020;1721
22/4/2020;2524
21/4/2020;1857
20/4/2020;1772
19/4/2020;1856
18/4/2020;3770
17/4/2020;2299
16/4/2020;4928
15/4/2020;2408
14/4/2020;1541
13/4/2020;1500
12/4/2020;1831
11/4/2020;2087
10/4/2020;1873
9/4/2020;1922
8/4/2020;1906
7/4/2020;1342
6/4/2020;1146
5/4/2020;1344
4/4/2020;1104
3/4/2020;915
2/4/2020;1059
1/4/2020;909
31/3/2020;661
30/3/2020;318
29/3/2020;484
28/3/2020;411
27/3/2020;246
26/3/2020;249
25/3/2020;211
24/3/2020;119
23/3/2020;131
22/3/2020;80
21/3/2020;110
19/3/2020;42
18/3/2020;23
17/3/2020;16
16/3/2020;12
15/3/2020;10
14/3/2020;7
13/3/2020;10
12/3/2020;2
11/3/2020;2
10/3/2020;5
9/3/2020;4
8/3/2020;3
7/3/2020;2
6/3/2020;1
5/3/2020;2
4/3/2020;3
3/3/2020;4
2/3/2020;1
1/3/2020;1
